#Image                      Noise
NGC2024_20170319_00010_450_EA3_mjybm_cr_sm.sdf  262.39
NGC2024_20170423_00011_450_EA3_mjybm_cr_sm.sdf  193.17
NGC2024_20170731_00060_450_EA3_mjybm_cr_sm.sdf  511.0
NGC2024_20170901_00051_450_EA3_mjybm_cr_sm.sdf  124.25
NGC2024_20170929_00010_450_EA3_mjybm_cr_sm.sdf  153.1
NGC2024_20171107_00037_450_EA3_mjybm_cr_sm.sdf  143.97
NGC2024_20171208_00038_450_EA3_mjybm_cr_sm.sdf  164.82
NGC2024_20180111_00019_450_EA3_mjybm_cr_sm.sdf  359.61
NGC2024_20180208_00021_450_EA3_mjybm_cr_sm.sdf  284.66
NGC2024_20180308_00012_450_EA3_mjybm_cr_sm.sdf  360.6
NGC2024_20180906_00018_450_EA3_mjybm_cr_sm.sdf  370.04
NGC2024_20181004_00045_450_EA3_mjybm_cr_sm.sdf  706.31
NGC2024_20181102_00043_450_EA3_mjybm_cr_sm.sdf  345.92
NGC2024_20181203_00052_450_EA3_mjybm_cr_sm.sdf  131.53
NGC2024_20190102_00035_450_EA3_mjybm_cr_sm.sdf  214.94
NGC2024_20190205_00029_450_EA3_mjybm_cr_sm.sdf  60.87
NGC2024_20190310_00016_450_EA3_mjybm_cr_sm.sdf  122.01
NGC2024_20190407_00016_450_EA3_mjybm_cr_sm.sdf  174.34
NGC2024_20190812_00087_450_EA3_mjybm_cr_sm.sdf  364.36
NGC2024_20190909_00058_450_EA3_mjybm_cr_sm.sdf  94.61
NGC2024_20191009_00040_450_EA3_mjybm_cr_sm.sdf  215.05
NGC2024_20191111_00047_450_EA3_mjybm_cr_sm.sdf  445.78
NGC2024_20191219_00038_450_EA3_mjybm_cr_sm.sdf  54.19
NGC2024_20200124_00015_450_EA3_mjybm_cr_sm.sdf  48.7
NGC2024_20200222_00019_450_EA3_mjybm_cr_sm.sdf  41.4
NGC2071_20151226_00052_450_EA3_mjybm_cr_sm.sdf  767.35
NGC2071_20160116_00027_450_EA3_mjybm_cr_sm.sdf  71.99
NGC2071_20160206_00015_450_EA3_mjybm_cr_sm.sdf  72.68
NGC2071_20160229_00013_450_EA3_mjybm_cr_sm.sdf  65.02
NGC2071_20160329_00011_450_EA3_mjybm_cr_sm.sdf  81.07
NGC2071_20160427_00013_450_EA3_mjybm_cr_sm.sdf  142.06
NGC2071_20160827_00053_450_EA3_mjybm_cr_sm.sdf  280.41
NGC2071_20161120_00088_450_EA3_mjybm_cr_sm.sdf  412.31
NGC2071_20161126_00056_450_EA3_mjybm_cr_sm.sdf  86.95
NGC2071_20170206_00017_450_EA3_mjybm_cr_sm.sdf  453.23
NGC2071_20170319_00014_450_EA3_mjybm_cr_sm.sdf  377.17
NGC2071_20170421_00025_450_EA3_mjybm_cr_sm.sdf  566.93
NGC2071_20170624_00036_450_EA3_mjybm_cr_sm.sdf  569.25
NGC2071_20170731_00063_450_EA3_mjybm_cr_sm.sdf  324.29
NGC2071_20170901_00040_450_EA3_mjybm_cr_sm.sdf  130.94
NGC2071_20170929_00011_450_EA3_mjybm_cr_sm.sdf  157.82
NGC2071_20171107_00034_450_EA3_mjybm_cr_sm.sdf  155.83
NGC2071_20171208_00041_450_EA3_mjybm_cr_sm.sdf  169.19
NGC2071_20180115_00021_450_EA3_mjybm_cr_sm.sdf  90.78
NGC2071_20180217_00012_450_EA3_mjybm_cr_sm.sdf  176.82
NGC2071_20180331_00012_450_EA3_mjybm_cr_sm.sdf  382.2
NGC2071_20180906_00012_450_EA3_mjybm_cr_sm.sdf  472.94
NGC2071_20181004_00057_450_EA3_mjybm_cr_sm.sdf  384.16
NGC2071_20181101_00020_450_EA3_mjybm_cr_sm.sdf  448.95
NGC2071_20181203_00042_450_EA3_mjybm_cr_sm.sdf  149.89
NGC2071_20190103_00021_450_EA3_mjybm_cr_sm.sdf  156.8
NGC2071_20190205_00033_450_EA3_mjybm_cr_sm.sdf  64.3
NGC2071_20190310_00026_450_EA3_mjybm_cr_sm.sdf  217.0
NGC2071_20190407_00021_450_EA3_mjybm_cr_sm.sdf  288.74
NGC2071_20190820_00065_450_EA3_mjybm_cr_sm.sdf  700.35
NGC2071_20190926_00059_450_EA3_mjybm_cr_sm.sdf  897.16
NGC2071_20191018_00068_450_EA3_mjybm_cr_sm.sdf  89.53
